text,label,symptoms,lebel_text
"Signs and symptoms of a poison ivy rash include:  Redness Itching Swelling Blisters Difficulty breathing, if you've inhaled the smoke from burning poison ivy  Poison ivy rash often appears in a straight line because of the way the plant brushes against your skin. But if you develop a rash after touching a piece of clothing or pet fur that has urushiol on it, the rash may be more spread out. You can also transfer the oil to other parts of your body with your fingers. The reaction usually develops 12 to 48 hours after exposure and lasts two to three weeks. The severity of the rash depends on the amount of urushiol that gets on your skin.",769.0,"['signs symptoms poison ivy rash include:  redness itching swelling blisters difficulty breathing', "" you've inhaled smoke burning poison ivy  poison ivy rash straight line way plant brushes skin"", ' develop rash touching piece clothing pet fur urushiol it', ' rash may spread out', ' can transfer oil parts body fingers', ' reaction develops 12 48 hours exposure lasts weeks', ' severity rash depends amount urushiol skin', '']",['poison ivy']
"chills,vomiting,fatigue,weight_loss,cough,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",1019.0,"['chills', 'vomiting', 'fatigue', 'weight loss', 'cough', 'breathlessness', 'sweating', 'loss of appetite', 'mild fever', 'yellowing of eyes', 'swelled lymph nodes', 'malaise', 'phlegm', 'chest pain', 'blood in sputum']",['tuberculosis']
"The two main features of amnesia are:  Trouble learning new information. Trouble remembering past events and previously familiar information.  Most people with amnesia have problems with short-term memory, so they can't retain new information. Recent memories are most likely to be lost. More-remote or deeply ingrained memories may be spared. For example, people may recall experiences from childhood or know the names of past presidents. But they may not be able to name the current president, know the month or remember what they ate for breakfast. Isolated memory loss doesn't affect a person's intelligence, general knowledge, awareness or attention span. It also doesn't affect judgment, personality or identity. People with amnesia usually can understand written and spoken words and can learn skills such as bike riding or piano playing. They may understand they have a memory disorder. Amnesia isn't the same as dementia. Dementia often includes memory loss but also involves other problems with thinking that lead to a decline in daily functioning. These problems include having trouble with language, judgment and visual-spatial skills. Memory loss also is a common symptom of mild cognitive impairment. This disorder involves memory and other cognitive problems that aren't as severe as those experienced in dementia. Additional symptoms Depending on the cause of the amnesia, other symptoms may include:  False memories that are either completely invented or are real memories misplaced in time. Confusion or disorientation. ",41.0,"['features amnesia are:  trouble learning new information', ' trouble remembering past events previously familiar information', '  people amnesia problems short-term memory', "" can't retain new information"", ' recent memories likely lost', ' more-remote deeply ingrained memories may spared', ' example', ' people may recall experiences childhood know names past presidents', ' may able name current president', ' know month remember ate breakfast', "" isolated memory loss doesn't affect person's intelligence"", ' general knowledge', ' awareness attention span', "" doesn't affect judgment"", ' personality identity', ' people amnesia can understand written spoken words can learn skills bike riding piano playing', ' may understand memory disorder', "" amnesia isn't dementia"", ' dementia includes memory loss involves problems thinking lead decline daily functioning', ' problems include trouble language', ' judgment visual-spatial skills', ' memory loss common symptom mild cognitive impairment', "" disorder involves memory cognitive problems aren't severe experienced dementia"", ' additional symptoms depending cause amnesia', ' symptoms may include:  false memories completely invented real memories misplaced time', ' confusion disorientation', ' ']",['amnesia']
"           Petechiae       Open pop-up dialog box          Close    Petechiae   Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B).               Petechiae       Open pop-up dialog box           Petechiae       Open pop-up dialog box  Open pop-up dialog box       Close    Petechiae   Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B).          Close    Petechiae   Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B).        Close    Petechiae   Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B).     Close    Close  Close Petechiae   Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B).  Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Immune thrombocytopenia may have no signs and symptoms. When they do occur, they may include:  Easy or excessive bruising Superficial bleeding into the skin that appears as pinpoint-sized reddish-purple spots (petechiae) that look like a rash, usually on the lower legs Bleeding from the gums or nose Blood in urine or stools Unusually heavy menstrual flow ",512.0,"['           petechiae       open pop-up dialog box          close    petechiae   petechiae petechiae may look like rash clusters', ' here leg (a) abdomen (b)', '               petechiae       open pop-up dialog box           petechiae       open pop-up dialog box  open pop-up dialog box       close    petechiae   petechiae petechiae may look like rash clusters', ' here leg (a) abdomen (b)', '          close    petechiae   petechiae petechiae may look like rash clusters', ' here leg (a) abdomen (b)', '        close    petechiae   petechiae petechiae may look like rash clusters', ' here leg (a) abdomen (b)', '     close    close  close petechiae   petechiae petechiae may look like rash clusters', ' here leg (a) abdomen (b)', '  petechiae petechiae may look like rash clusters', ' here leg (a) abdomen (b)', ' petechiae may look like rash clusters', ' here leg (a) abdomen (b)', ' immune thrombocytopenia may signs symptoms', ' occur', ' may include:  easy excessive bruising superficial bleeding skin pinpoint-sized reddish-purple spots (petechiae) look like rash', ' lower legs bleeding gums nose blood urine stools unusually heavy menstrual flow ']",['idiopathic thrombocytopenic purpura']
I have a lot of varicose veins on my legs and they are really painful. I also get cramps in my legs a lot.,1047.0,"['varicose veins legs painful', ' cramps legs lot', '']",['varicose veins']
"I've been coughing for days. My nose is stuffy, and my face hurts. I've been coughing up phlegm, and it hurts to cough. I can't smell anything, and my muscles ache.",234.0,"[""i've coughing days"", ' nose stuffy', ' face hurts', "" i've coughing phlegm"", ' hurts cough', "" can't smell anything"", ' muscles ache', '']",['common cold']
"A seborrheic keratosis grows gradually. Signs and symptoms might include:  A round or oval-shaped waxy or rough bump, typically on the face, chest, a shoulder or the back A flat growth or a slightly raised bump with a scaly surface, with a characteristic ""pasted on"" look Varied size, from very small to more than 1 inch (2.5 centimeters) across Varied number, ranging from a single growth to multiple growths Very small growths clustered around the eyes or elsewhere on the face, sometimes called flesh moles or dermatosis papulosa nigra, common on Black or brown skin Varied in color, ranging from light tan to brown or black Itchiness ",892.0,"['seborrheic keratosis grows gradually', ' signs symptoms include:  round oval-shaped waxy rough bump', ' typically face', ' chest', ' shoulder back flat growth slightly raised bump scaly surface', ' characteristic ""pasted on"" look varied size', ' small 1 inch (2', '5 centimeters) across varied number', ' ranging single growth multiple growths small growths clustered eyes face', ' called flesh moles dermatosis papulosa nigra', ' common black brown skin varied color', ' ranging light tan brown black itchiness ']",['seborrheic keratosis']
"Septic arthritis typically causes extreme discomfort and difficulty using the affected joint. The joint could be swollen, red and warm, and you might have a fever. If septic arthritis occurs in an artificial joint (prosthetic joint infection), signs and symptoms such as minor pain and swelling may develop months or years after knee replacement or hip replacement surgery. Also, a loosening of the joint may occur, which causes pain while moving the joint or while putting weight on the joint. Typically, the pain goes away when at rest. In extreme cases, the joint may become dislocated.",123.0,"['septic arthritis typically causes extreme discomfort difficulty using affected joint', ' joint swollen', ' red warm', ' fever', ' septic arthritis occurs artificial joint (prosthetic joint infection)', ' signs symptoms minor pain swelling may develop months years knee replacement hip replacement surgery', ' also', ' loosening joint may occur', ' causes pain moving joint putting weight joint', ' typically', ' pain goes away rest', ' extreme cases', ' joint may dislocated', '']",['bone and joint infections']
"I've been having frequent headaches, stomach acid, indigestion, hazy and distorted vision, increased appetite, stiff neck, depression, irritation, and visual distortion.",630.0,"[""i've frequent headaches"", ' stomach acid', ' indigestion', ' hazy distorted vision', ' increased appetite', ' stiff neck', ' depression', ' irritation', ' visual distortion', '']",['migraine']
"I have a burning sensation in my upper stomach that comes and goes. I also have heartburn, indigestion, and nausea.",736.0,"['burning sensation upper stomach comes goes', ' heartburn', ' indigestion', ' nausea', '']",['peptic ulcer disease']
"fatigue,cramps,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf",1047.0,"['fatigue', 'cramps', 'obesity', 'swollen legs', 'swollen blood vessels', 'prominent veins on calf']",['varicose veins']
"Signs and symptoms of shigella infection usually begin a day or two after contact with shigella. But it may take up to a week to develop. Signs and symptoms may include:  Diarrhea (often containing blood or mucus) Stomach pain or cramps Fever Nausea or vomiting  Symptoms generally last for about five to seven days. In some cases, symptoms may last longer. Some people have no symptoms after they've been infected with shigella. However, their feces may still be contagious up to a few weeks.",902.0,"['signs symptoms shigella infection begin day contact shigella', ' may take week develop', ' signs symptoms may include:  diarrhea (often containing blood mucus) stomach pain cramps fever nausea vomiting  symptoms generally last days', ' cases', ' symptoms may last longer', "" people symptoms they've infected shigella"", ' however', ' feces may still contagious weeks', '']",['shigella']
"I'm really sick. I have a fever, chills, and a headache. I've been vomiting and sweating a lot. I also have muscle pain and nausea.",596.0,"[""i'm sick"", ' fever', ' chills', ' headache', "" i've vomiting sweating lot"", ' muscle pain nausea', '']",['malaria']
"I've been having trouble breathing, a cough that won't go away, and I'm exhausted. I've been coughing up a lot of thick, mucusy stuff and I have a fever. I'm just so tired from all of this.",149.0,"[""i've trouble breathing"", "" cough won't away"", "" i'm exhausted"", "" i've coughing thick"", ' mucusy stuff fever', "" i'm just tired this"", '']",['bronchial asthma']
"muscle_weakness,stiff_neck,swelling_joints,painful_walking",72.0,"['muscle weakness', 'stiff neck', 'swelling joints', 'painful walking']",['arthritis']
"I've been having coughing fits, back pain, and weakness in my arms and legs. I've also been having neck pain and dizziness.",186.0,"[""i've coughing fits"", ' back pain', ' weakness arms legs', "" i've neck pain dizziness"", '']",['cervical spondylosis']
"muscle_weakness,stiff_neck,movement_stiffness,painful_walking",72.0,"['muscle weakness', 'stiff neck', 'movement stiffness', 'painful walking']",['arthritis']
"I have a really high fever, and I can't breathe well. My heart is racing, I'm sweating, and I feel cold and tired. I'm also about to cough up some brown phlegm.",766.0,"['high fever', "" can't breathe well"", ' heart racing', "" i'm sweating"", ' feel cold tired', "" i'm cough brown phlegm"", '']",['pneumonia']
"           Gingivitis       Open pop-up dialog box          Close    Gingivitis   Gingivitis Gingivitis can cause dusky red, swollen, tender gums that bleed easily, especially when you brush your teeth.               Gingivitis       Open pop-up dialog box           Gingivitis       Open pop-up dialog box  Open pop-up dialog box       Close    Gingivitis   Gingivitis Gingivitis can cause dusky red, swollen, tender gums that bleed easily, especially when you brush your teeth.          Close    Gingivitis   Gingivitis Gingivitis can cause dusky red, swollen, tender gums that bleed easily, especially when you brush your teeth.        Close    Gingivitis   Gingivitis Gingivitis can cause dusky red, swollen, tender gums that bleed easily, especially when you brush your teeth.     Close    Close  Close Gingivitis   Gingivitis Gingivitis can cause dusky red, swollen, tender gums that bleed easily, especially when you brush your teeth.  Gingivitis Gingivitis can cause dusky red, swollen, tender gums that bleed easily, especially when you brush your teeth. Gingivitis can cause dusky red, swollen, tender gums that bleed easily, especially when you brush your teeth. Healthy gums are firm and pale pink and fitted tightly around the teeth. Signs and symptoms of gingivitis include:  Swollen or puffy gums Dusky red or dark red gums Gums that bleed easily when you brush or floss Bad breath Receding gums Tender gums  When to see a dentist If you notice any signs and symptoms of gingivitis, schedule an appointment with your dentist. The sooner you seek care, the better your chances of reversing damage from gingivitis and preventing its progression to periodontitis.",417.0,"['           gingivitis       open pop-up dialog box          close    gingivitis   gingivitis gingivitis can cause dusky red', ' swollen', ' tender gums bleed easily', ' especially brush teeth', '               gingivitis       open pop-up dialog box           gingivitis       open pop-up dialog box  open pop-up dialog box       close    gingivitis   gingivitis gingivitis can cause dusky red', ' swollen', ' tender gums bleed easily', ' especially brush teeth', '          close    gingivitis   gingivitis gingivitis can cause dusky red', ' swollen', ' tender gums bleed easily', ' especially brush teeth', '        close    gingivitis   gingivitis gingivitis can cause dusky red', ' swollen', ' tender gums bleed easily', ' especially brush teeth', '     close    close  close gingivitis   gingivitis gingivitis can cause dusky red', ' swollen', ' tender gums bleed easily', ' especially brush teeth', '  gingivitis gingivitis can cause dusky red', ' swollen', ' tender gums bleed easily', ' especially brush teeth', ' gingivitis can cause dusky red', ' swollen', ' tender gums bleed easily', ' especially brush teeth', ' healthy gums firm pale pink fitted tightly teeth', ' signs symptoms gingivitis include:  swollen puffy gums dusky red dark red gums gums bleed easily brush floss bad breath receding gums tender gums  see dentist notice signs symptoms gingivitis', ' schedule appointment dentist', ' sooner seek care', ' chances reversing damage gingivitis preventing progression periodontitis', '']",['gingivitis']
"Symptoms of a common cold usually appear one to three days after exposure to a cold-causing virus. Signs and symptoms, which can vary from person to person, might include:  Runny or stuffy nose Sore throat Cough Congestion Slight body aches or a mild headache Sneezing Low-grade fever Generally feeling unwell  The discharge from your nose may start out clear and become thicker and yellow or green as a common cold runs its course. This doesn't usually mean you have a bacterial infection.",234.0,"['symptoms common cold days exposure cold-causing virus', ' signs symptoms', ' can vary person person', ' include:  runny stuffy nose sore throat cough congestion slight body aches mild headache sneezing low-grade fever generally feeling unwell  discharge nose may start clear thicker yellow green common cold runs course', "" doesn't mean bacterial infection"", '']",['common cold']
I've been feeling really weak and my neck has been stiff. My joints are swollen and it's hard to move around. Walking is really painful.,72.0,"[""i've feeling weak neck stiff"", "" joints swollen it's hard move around"", ' walking painful', '']",['arthritis']
"I've been feeling really sick lately. I've been having a high fever, chills, and vomiting. I'm also sweating a lot and have a headache. I feel nauseous and my muscles are really sore.",596.0,"[""i've feeling sick lately"", "" i've high fever"", ' chills', ' vomiting', "" i'm sweating headache"", ' feel nauseous muscles sore', '']",['malaria']
"continuous_sneezing,chills,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",234.0,"['continuous sneezing', 'chills', 'cough', 'high fever', 'headache', 'swelled lymph nodes', 'malaise', 'phlegm', 'throat irritation', 'redness of eyes', 'sinus pressure', 'runny nose', 'congestion', 'chest pain', 'loss of smell', 'muscle pain']",['common cold']
My legs hurt a lot when I stand or walk for a long time. I get cramps when I do physical activities. I also have bruise marks on my legs.,1047.0,"['legs hurt stand walk long time', ' cramps physical activities', ' bruise marks legs', '']",['varicose veins']
"           Primary syphilis       Open pop-up dialog box          Close    Primary syphilis   Primary syphilis Primary syphilis causes painless sores (chancres) on the genitals, rectum, tongue or lips. The disease can be present with the appearance of a single chancre (shown here on a penis) or many.               Primary syphilis       Open pop-up dialog box           Primary syphilis       Open pop-up dialog box  Open pop-up dialog box       Close    Primary syphilis   Primary syphilis Primary syphilis causes painless sores (chancres) on the genitals, rectum, tongue or lips. The disease can be present with the appearance of a single chancre (shown here on a penis) or many.          Close    Primary syphilis   Primary syphilis Primary syphilis causes painless sores (chancres) on the genitals, rectum, tongue or lips. The disease can be present with the appearance of a single chancre (shown here on a penis) or many.        Close    Primary syphilis   Primary syphilis Primary syphilis causes painless sores (chancres) on the genitals, rectum, tongue or lips. The disease can be present with the appearance of a single chancre (shown here on a penis) or many.     Close    Close  Close Primary syphilis   Primary syphilis Primary syphilis causes painless sores (chancres) on the genitals, rectum, tongue or lips. The disease can be present with the appearance of a single chancre (shown here on a penis) or many.  Primary syphilis Primary syphilis causes painless sores (chancres) on the genitals, rectum, tongue or lips. The disease can be present with the appearance of a single chancre (shown here on a penis) or many. Primary syphilis causes painless sores (chancres) on the genitals, rectum, tongue or lips. The disease can be present with the appearance of a single chancre (shown here on a penis) or many. Syphilis develops in stages, and symptoms vary with each stage. But the stages may overlap, and symptoms don't always occur in the same order. You may be infected with syphilis without noticing any symptoms for years. Primary syphilis The first sign of syphilis is a small sore, called a chancre (SHANG-kur). The sore appears at the spot where the bacteria entered your body. While most people infected with syphilis develop only one chancre, some people develop several of them. The chancre usually develops about three weeks after exposure. Many people who have syphilis don't notice the chancre because it's usually painless, and it may be hidden within the vagina or rectum. The chancre will heal on its own within three to six weeks. Secondary syphilis Within a few weeks of the original chancre healing, you may experience a rash that begins on your trunk but eventually covers your entire body — even the palms of your hands and the soles of your feet. This rash is usually not itchy and may be accompanied by wartlike sores in your mouth or genital area. Some people also experience hair loss, muscle aches, a fever, a sore throat and swollen lymph nodes. These signs and symptoms may disappear within a few weeks or repeatedly come and go for as long as a year. Latent syphilis If you aren't treated for syphilis, the disease moves from the secondary stage to the hidden (latent) stage, when you have no symptoms. The latent stage can last for years. Signs and symptoms may never return, or the disease may progress to the third (tertiary) stage. Tertiary syphilis About 15% to 30% of people infected with syphilis who don't get treatment will develop complications known as tertiary syphilis. In the late stage, the disease may damage the brain, nerves, eyes, heart, blood vessels, liver, bones and joints. These problems may occur many years after the original, untreated infection. Neurosyphilis At any stage, syphilis can spread and, among other damage, cause damage to the brain and nervous system and the eye. Congenital syphilis Babies born to women who have syphilis can become infected through the placenta or during birth. Most newborns with congenital syphilis have no symptoms, although some experience a rash on the palms of their hands and the soles of their feet. Later signs and symptoms may include deafness, teeth deformities and saddle nose — where the bridge of the nose collapses. However, babies born with syphilis can also be born too early, may die in the womb before birth or can die after birth.",964.0,"['           primary syphilis       open pop-up dialog box          close    primary syphilis   primary syphilis primary syphilis causes painless sores (chancres) genitals', ' rectum', ' tongue lips', ' disease can present appearance single chancre (shown here penis) many', '               primary syphilis       open pop-up dialog box           primary syphilis       open pop-up dialog box  open pop-up dialog box       close    primary syphilis   primary syphilis primary syphilis causes painless sores (chancres) genitals', ' rectum', ' tongue lips', ' disease can present appearance single chancre (shown here penis) many', '          close    primary syphilis   primary syphilis primary syphilis causes painless sores (chancres) genitals', ' rectum', ' tongue lips', ' disease can present appearance single chancre (shown here penis) many', '        close    primary syphilis   primary syphilis primary syphilis causes painless sores (chancres) genitals', ' rectum', ' tongue lips', ' disease can present appearance single chancre (shown here penis) many', '     close    close  close primary syphilis   primary syphilis primary syphilis causes painless sores (chancres) genitals', ' rectum', ' tongue lips', ' disease can present appearance single chancre (shown here penis) many', '  primary syphilis primary syphilis causes painless sores (chancres) genitals', ' rectum', ' tongue lips', ' disease can present appearance single chancre (shown here penis) many', ' primary syphilis causes painless sores (chancres) genitals', ' rectum', ' tongue lips', ' disease can present appearance single chancre (shown here penis) many', ' syphilis develops stages', ' symptoms vary stage', ' stages may overlap', "" symptoms don't occur order"", ' may infected syphilis noticing symptoms years', ' primary syphilis first sign syphilis small sore', ' called chancre (shang-kur)', ' sore spot bacteria entered body', ' people infected syphilis develop only chancre', ' people develop them', ' chancre develops weeks exposure', "" people who syphilis don't notice chancre it's painless"", ' may hidden vagina rectum', ' chancre will heal weeks', ' secondary syphilis weeks original chancre healing', ' may experience rash begins trunk eventually covers entire body — palms hands soles feet', ' rash itchy may accompanied wartlike sores mouth genital area', ' people experience hair loss', ' muscle aches', ' fever', ' sore throat swollen lymph nodes', ' signs symptoms may disappear weeks repeatedly come long year', "" latent syphilis aren't treated syphilis"", ' disease moves secondary stage hidden (latent) stage', ' symptoms', ' latent stage can last years', ' signs symptoms may return', ' disease may progress third (tertiary) stage', "" tertiary syphilis 15% 30% people infected syphilis who don't treatment will develop complications known tertiary syphilis"", ' late stage', ' disease may damage brain', ' nerves', ' eyes', ' heart', ' blood vessels', ' liver', ' bones joints', ' problems may occur years original', ' untreated infection', ' neurosyphilis stage', ' syphilis can spread and', ' damage', ' cause damage brain nervous system eye', ' congenital syphilis babies born women who syphilis can infected placenta birth', ' newborns congenital syphilis symptoms', ' experience rash palms hands soles feet', ' later signs symptoms may include deafness', ' teeth deformities saddle nose — bridge nose collapses', ' however', ' babies born syphilis can born early', ' may die womb birth can die birth', '']",['syphilis']
I have been experiencing a lot of headaches and my vision has been blurry. I have also been having trouble digesting my food and I feel like I have acid reflux.,630.0,"['experiencing headaches vision blurry', ' trouble digesting food feel like acid reflux', '']",['migraine']
"I have a rash that looks red and inflamed, discoloured areas of skin that are different colours from the rest of my skin, and itching on my skin.",394.0,"['rash looks red inflamed', ' discoloured areas skin colours rest skin', ' itching skin', '']",['fungal infection']
"I've been itching a lot, and it's been accompanied with a rash that looks to be getting worse over time. There are also some patches of skin that are different colours from the rest of the skin, as well as some lumps that resemble little nodes.",394.0,"[""i've itching lot"", "" it's accompanied rash looks worse time"", ' patches skin colours rest skin', ' well lumps resemble little nodes', '']",['fungal infection']
"I've been feeling really itchy all over my body, and I have a rash that's really red and irritating.",193.0,"[""i've feeling itchy body"", "" rash that's red irritating"", '']",['chicken pox']
"I'm sweating a lot and can't catch my breath. I feel really sick, my throat is full of mucus, my heart is racing, and my chest hurts. I'm coughing up thick, rusty-colored mucus.",766.0,"[""i'm sweating can't catch breath"", ' feel sick', ' throat full mucus', ' heart racing', ' chest hurts', "" i'm coughing thick"", ' rusty-colored mucus', '']",['pneumonia']
"A varicocele usually occurs on the left side of the scrotum and often produces no signs or symptoms. Possible signs and symptoms may include:  Pain. A dull, aching pain or discomfort is more likely when standing or late in the day. Lying down often relieves pain. A mass in the scrotum. If a varicocele is large enough, a mass like a ""bag of worms"" may be visible above the testicle. A smaller varicocele may be too small to see but noticeable by touch. Differently sized testicles. The affected testicle may be noticeably smaller than the other testicle. Infertility. A varicocele may lead to difficulty fathering a child, but not all varicoceles cause infertility. ",1046.0,"['varicocele occurs left side scrotum produces signs symptoms', ' possible signs symptoms may include:  pain', ' dull', ' aching pain discomfort likely standing late day', ' lying down relieves pain', ' mass scrotum', ' varicocele large enough', ' mass like ""bag worms"" may visible testicle', ' smaller varicocele may small see noticeable touch', ' differently sized testicles', ' affected testicle may noticeably smaller testicle', ' infertility', ' varicocele may lead difficulty fathering child', ' varicoceles cause infertility', ' ']",['varicocele']
"I've been feeling really hot and sweaty, and I've been throwing up. I've also been shivering and my skin is really itchy. I have a headache and my muscles hurt.",596.0,"[""i've feeling hot sweaty"", "" i've throwing up"", "" i've shivering skin itchy"", ' headache muscles hurt', '']",['malaria']
I have no appetite and I feel like vomiting. I am also very tired. I have rashes on my skin that are really concerning me.,193.0,"['appetite feel like vomiting', ' am tired', ' rashes skin me', '']",['chicken pox']
"If you're not producing enough saliva, you may notice these signs and symptoms all or most of the time:  Dryness or a feeling of stickiness in your mouth Saliva that seems thick and stringy Bad breath Difficulty chewing, speaking and swallowing Dry or sore throat and hoarseness Dry or grooved tongue A changed sense of taste Problems wearing dentures  In addition, dry mouth may result in lipstick sticking to the teeth.",311.0,"[""you're producing saliva"", ' may notice signs symptoms time:  dryness feeling stickiness mouth saliva thick stringy bad breath difficulty chewing', ' speaking swallowing dry sore throat hoarseness dry grooved tongue changed sense taste problems wearing dentures  addition', ' dry mouth may result lipstick sticking teeth', '']",['dry mouth']
I feel weak and tired. I can't taste or smell things as well as I used to. Sometimes my heart beats fast or I feel like I'm going to pass out.,284.0,"['feel weak tired', "" can't taste smell well to"", "" heart beats fast feel like i'm going pass out"", '']",['diabetes']
I have a lot of heartburn and indigestion. It's worse when I eat spicy or fatty foods. It also hurts when I lean forward or lie down.,403.0,"['heartburn indigestion', "" it's worse eat spicy fatty foods"", ' hurts lean forward lie down', '']",['gastroesophageal reflux disease']
"vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207.0,"['vomiting', 'yellowish skin', 'nausea', 'loss of appetite', 'abdominal pain', 'yellowing of eyes']",['chronic cholestasis']
"Signs and symptoms can vary greatly among girls and women with triple X syndrome. Many experience no noticeable effects or have only mild symptoms. Being taller than average height is the most typical physical feature. Most females with triple X syndrome experience normal sexual development and have the ability to become pregnant. Some girls and women with triple X syndrome have intelligence in the normal range, but possibly slightly lower when compared with siblings. Others may have intellectual disabilities and sometimes may have behavioral problems. Occasionally, significant symptoms may occur, which vary among individuals. These signs and symptoms may show up as:  Delayed development of speech and language skills, as well as motor skills, such as sitting up and walking Learning disabilities, such as difficulty with reading, understanding or math Behavioral problems, such as attention-deficit/hyperactivity disorder (ADHD) or symptoms of autism spectrum disorder Psychological problems, such as anxiety and depression Problems with fine and gross motor skills, memory, judgment and information processing  Sometimes females with triple X syndrome have these signs and symptoms:  Vertical folds of skin that cover the inner corners of the eyes (epicanthal folds) Widely spaced eyes Curved pinky fingers Flat feet Breastbone with an inward bowed shape Weak muscle tone (hypotonia) Seizures Problems with the kidneys Ovaries that don't work properly at a young age (premature ovarian failure) ",1017.0,"['signs symptoms can vary greatly girls women triple syndrome', ' experience noticeable effects only mild symptoms', ' being taller average height typical physical feature', ' females triple syndrome experience normal sexual development ability pregnant', ' girls women triple syndrome intelligence normal range', ' possibly slightly lower compared siblings', ' may intellectual disabilities may behavioral problems', ' occasionally', ' significant symptoms may occur', ' vary individuals', ' signs symptoms may show as:  delayed development speech language skills', ' well motor skills', ' sitting walking learning disabilities', ' difficulty reading', ' understanding math behavioral problems', ' attention-deficit/hyperactivity disorder (adhd) symptoms autism spectrum disorder psychological problems', ' anxiety depression problems fine gross motor skills', ' memory', "" judgment processing  females triple syndrome signs symptoms:  vertical folds skin cover inner corners eyes (epicanthal folds) widely spaced eyes curved pinky fingers flat feet breastbone bowed shape weak muscle tone (hypotonia) seizures problems kidneys ovaries don't work properly young age (premature ovarian failure) ""]",['triple x syndrome']
"continuous_sneezing,chills,watering_from_eyes",35.0,"['continuous sneezing', 'chills', 'watering from eyes']",['allergy']
"acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",630.0,"['acidity', 'indigestion', 'blurred and distorted vision', 'excessive hunger', 'stiff neck', 'depression', 'irritability', 'visual disturbances']",['migraine']
"I've been feeling really unwell and have been scratching a lot. I have a high fever, chills, nausea, and muscle pain. I've also been sweating a lot.",596.0,"[""i've feeling unwell scratching lot"", ' high fever', ' chills', ' nausea', ' muscle pain', "" i've sweating lot"", '']",['malaria']
I have been having rashes on my skin for a while now. They are not healing and are getting worse. I have also noticed that the skin on my elbows and knees is peeling. I am worried about this and would like to see a doctor.,822.0,"['rashes skin now', ' healing worse', ' noticed skin elbows knees peeling', ' am worried like see doctor', '']",['psoriasis']
I've been experiencing stiffness and weakness in my neck muscles recently. I've also been having trouble running and walking because of the stiffness in my joints.,72.0,"[""i've experiencing stiffness weakness neck muscles recently"", "" i've trouble running walking stiffness joints"", '']",['arthritis']
I've been having blood in my urine. I also feel like I'm almost feverish and sometimes get nauseous when I urinate.,1035.0,"[""i've blood urine"", "" feel like i'm feverish nauseous urinate"", '']",['urinary tract infection']
"vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",33.0,"['vomiting', 'yellowish skin', 'swelling of stomach', 'distention of abdomen', 'history of alcohol consumption', 'fluid overload']",['alcoholic hepatitis']
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool",297.0,"['constipation', 'pain during bowel movements', 'pain in anal region', 'bloody stool']",['dimorphic hemmorhoids(piles)']
"indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",630.0,"['indigestion', 'headache', 'blurred and distorted vision', 'excessive hunger', 'stiff neck', 'depression', 'irritability', 'visual disturbances']",['migraine']
"I'm having trouble breathing, and my fever is really high. I'm sweating and shivering. My heart is racing, and I'm really tired. I'm also about to cough up some brown phlegm.",766.0,"[""i'm trouble breathing"", ' fever high', "" i'm sweating shivering"", ' heart racing', "" i'm tired"", "" i'm cough brown phlegm"", '']",['pneumonia']
